ID,Nama Tempat,Alamat Lengkap,Latitude,Longitude,Kategori,Jam Buka,Rating,Jumlah Ulasan,Nomor Telepon,Website,Link Google Maps
ChIJj-0TtXI7MTARRXrAAdjcZHU,The Le Hu Garden,"Jl. Pendidikan, Deli Tua Barat, Deli Tua, Deli Serdang Regency, North Sumatra 20355, Indonesia",,,,,4.2,3733,+62 821-6152-5824,,https://www.google.com/maps/place/?q=place_id:ChIJj-0TtXI7MTARRXrAAdjcZHU
ChIJeaibaZY7MTARsinvW6PAiqI,Wisata Merci Waterpark and Resto,"komp.Medan Resort City, Jl. Perjuangan, Deli Tua, Kec. Namorambe, Kabupaten Deli Serdang, Sumatera Utara 20143, Indonesia",,,,,4.5,5054,,,https://www.google.com/maps/place/?q=place_id:ChIJeaibaZY7MTARsinvW6PAiqI
ChIJFzkJ0JskMTARr9bx-u9LvVU,T.GARDEN Little Bali in Medan,"Jati Kesuma, Kec. Namorambe, Kabupaten Deli Serdang, Sumatera Utara 20353, Indonesia",,,,,4.2,1209,,,https://www.google.com/maps/place/?q=place_id:ChIJFzkJ0JskMTARr9bx-u9LvVU
ChIJte58l9ExMTAR6qHrIZChoSk,Tjong Yong Hian Gallery,"HMP9+GJG, Jl. Kejaksaan, Petisah Tengah, Medan Petisah, Medan City, North Sumatra 20151, Indonesia",,,,,4.4,87,,,https://www.google.com/maps/place/?q=place_id:ChIJte58l9ExMTAR6qHrIZChoSk
ChIJta-890swMTARJJlPBPxIySM,Sri Deli Park,"HMGP+HJQ, Jl. Sisingamangaraja, Mesjid, Kec. Medan Kota, Kota Medan, Sumatera Utara 20213, Indonesia",,,,,4.4,1748,+62 823-3918-0403,,https://www.google.com/maps/place/?q=place_id:ChIJta-890swMTARJJlPBPxIySM
ChIJ75rUDSouMTARxdqqukiYvcA,Gajah Mada Park,"Jl. Gajah Mada No.35, Babura, Medan Baru, Medan City, North Sumatra 20154, Indonesia",,,,,4.3,3533,,,https://www.google.com/maps/place/?q=place_id:ChIJ75rUDSouMTARxdqqukiYvcA
ChIJFf2orIYxMTARFJF-loUJuds,Little India Gate ( குட்டி இந்தியா நுழைவாயில்/Gerbang India Kecil),"HMMC+FCQ, Jl. KH. Zainul Arifin, Madras Hulu, Medan Polonia, Medan City, North Sumatra 20152, Indonesia",,,,,4.3,27,,,https://www.google.com/maps/place/?q=place_id:ChIJFf2orIYxMTARFJF-loUJuds
ChIJf2-1S7_MNjARYVWYGpC-nmE,Percut Waterpark,"PP6J+HMM, Jalan Kawasan Industri, Paluh Gelombang, Tanjung Rejo, Percut Sei Tuan, Tj. Rejo, Kec. Percut Sei Tuan, Kabupaten Deli Serdang, Sumatera Utara 20371, Indonesia",,,,,4,1680,+62 61 4552455,https://instagram.com/tamanairpercut,https://www.google.com/maps/place/?q=place_id:ChIJf2-1S7_MNjARYVWYGpC-nmE
ChIJH0WmUVowMTARis9K2WYgan4,State Museum of North Sumatra,"Jl. HM. Joni No.51, West Teladan, Medan Kota, Medan City, North Sumatra 20217, Indonesia",,,,,4.5,2760,,,https://www.google.com/maps/place/?q=place_id:ChIJH0WmUVowMTARis9K2WYgan4
ChIJRc_oQSMwMTAR9sVNFyhZXsU,Raksa Buana Great Temple,"Jl. Polonia No.216, Polonia, Medan Polonia, Medan City, North Sumatra 20157, Indonesia",,,,,4.7,89,+62 857-6074-4366,,https://www.google.com/maps/place/?q=place_id:ChIJRc_oQSMwMTAR9sVNFyhZXsU
